"","Arbol","Bloque","Longitud","Latitud","X_UTM","Y_UTM","Altitud","AltRan","Fungicida","Nutrimento","Rep","Muestreo","DDA","Anio","AcicR","Abs","TotalAc","Inc","Sevmed","Sevmin","Sevmax","LonBrot","indcol","Afmed","Afmax","Afmin","Aftotal","CA","RA","Color","trat","ABCPEIC"
"322",52,"Baja",-97.99107,19.721575,605727.9204,2180985.428,2990.7,"Alta",1,3,2,3,91,2017,137,2,139,0,0,0,0,8.3,0,0.3012,0.346,0.219,9.036,1.438848921,98.56115108,1,13,0
"323",53,"Baja",-97.99104,19.721668,605731.0032,2180995.739,2990.9,"Alta",3,2,2,3,91,2017,114,0,114,0,0,0,0,8.9,0,0.310333333,0.361,0.237,9.31,0,100,1,32,0
"324",54,"Baja",-97.991264,19.72178,605707.4543,2181007.995,2991,"Alta",2,1,2,3,91,2017,162,0,162,0,0,0,0,13.7,0,0.202533333,0.228,0.165,6.076,0,100,1,21,0
"325",1,"Alta",-97.990875,19.722336,605747.8559,2181069.77,2979.3,"Baja",1,1,1,4,119,2016,99,4,103,0.966666667,0.381333333,0.236666667,0.55,5.1,36.86222222,0.1831,0.2,0.162,5.493,3.883495146,96.11650485,1,11,754.6311111
"326",2,"Alta",-97.99091,19.722218,605744.2655,2181056.689,2979.3,"Baja",1,2,1,4,119,2016,101,1,102,0.966666667,0.274333333,0.123333333,0.493333333,6.3,26.51888889,0.186733333,0.208,0.141,5.602,0.980392157,99.01960784,1,12,898.1311111
"327",3,"Alta",-97.99095,19.72206,605740.1774,2181039.178,2979.5,"Baja",2,2,1,4,119,2016,161,2,163,1,0.404,0.12,0.743333333,9.7,40.4,0.302366667,0.35,0.242,9.071,1.226993865,98.77300613,2,22,1372.466667
"328",4,"Alta",-97.990814,19.722008,605754.4645,2181033.508,2980,"Baja",1,2,2,4,119,2016,125,3,128,0.966666667,0.362,0.293333333,0.57,9.1,34.99333333,0.2943,0.342,0.256,8.829,2.34375,97.65625,2,12,1188.506667
"329",5,"Alta",-97.99093,19.72194,605742.3524,2181025.91,2984.3,"Baja",2,1,1,4,119,2016,74,8,82,0.966666667,0.361666667,0.306666667,0.493333333,8.4,34.96111111,0.463666667,0.508,0.395,13.91,9.756097561,90.24390244,2,21,1350.922222
"330",6,"Alta",-97.99107,19.721893,605727.7112,2181020.621,2992.3,"Alta",1,3,1,4,119,2016,133,0,133,0.7,0.089333333,0,0.203333333,8.1,6.253333333,0.321533333,0.372,0.263,9.646,0,100,2,13,424.48
"331",7,"Alta",-97.991104,19.721735,605724.2519,2181003.114,2990.8,"Alta",1,3,2,4,119,2016,103,2,105,0.9,0.361,0.296666667,0.446666667,8.4,32.49,0.312966667,0.348,0.261,9.389,1.904761905,98.0952381,2,13,1054.993333
"332",8,"Alta",-97.990974,19.72165,605737.9319,2180993.788,2991,"Alta",2,3,1,4,119,2016,85,18,103,0.866666667,0.207,0.123333333,0.34,9.3,17.94,0.376833333,0.418,0.299,11.305,17.47572816,82.52427184,3,23,708.0266666
"333",9,"Alta",-97.9911,19.721706,605724.6902,2180999.907,2991.2,"Alta",2,2,2,4,119,2016,115,4,119,0.866666667,0.206333333,0.063333333,0.416666667,10.1,17.88222222,0.321766667,0.367,0.225,9.653,3.361344538,96.63865546,2,22,730.7844445
"334",10,"Alta",-97.99113,19.721746,605721.5199,2181004.316,2990.9,"Alta",3,1,1,4,119,2016,82,6,88,0.666666667,0.302,0.103333333,0.573333333,7.4,20.13333333,0.3069,0.344,0.266,9.207,6.818181818,93.18181818,3,31,686.4666666
"335",11,"Alta",-97.99111,19.721792,605723.5856,2181009.419,2991.1,"Alta",3,2,1,4,119,2016,104,4,108,0.466666667,0.112333333,0,0.183333333,9.2,5.242222222,0.297,0.332,0.256,8.91,3.703703704,96.2962963,2,32,650.1911111
"336",12,"Alta",-97.99111,19.72187,605723.5343,2181018.051,2992.4,"Alta",2,1,2,4,119,2016,110,7,117,0.8,0.307333333,0,0.566666667,7.7,24.58666667,0.356333333,0.403,0.256,10.69,5.982905983,94.01709402,2,21,865.48
"337",13,"Alta",-97.99114,19.721897,605720.3726,2181021.02,2993.1,"Alta",3,2,2,4,119,2016,107,2,109,0.533333333,0.133666667,0,0.44,8.7,7.128888889,0.3303,0.403,0.258,9.909,1.834862385,98.16513761,2,32,690.6044445
"338",14,"Alta",-97.99106,19.722075,605728.6395,2181040.769,2979.2,"Baja",3,3,1,4,119,2016,80,6,86,0.633333333,0.157666667,0,0.613333333,5.1,9.985555556,0.216866667,0.242,0.177,6.506,6.976744186,93.02325581,2,33,511.2644444
"339",15,"Alta",-97.99085,19.722488,605750.3759,2181086.607,2973.2,"Baja",3,1,2,4,119,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0
"340",16,"Alta",-97.99083,19.72246,605752.4903,2181083.521,2973.3,"Baja",2,3,2,4,119,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0
"341",17,"Alta",-97.99077,19.722294,605758.8875,2181065.187,2978.5,"Baja",1,1,2,4,119,2016,81,2,83,0.966666667,0.320333333,0.013333333,0.506666667,6,30.96555556,0.202966667,0.23,0.161,6.089,2.409638554,97.59036145,1,11,1241.317778
"342",18,"Alta",-97.99089,19.722174,605746.3904,2181051.832,2979.5,"Baja",3,3,2,4,119,2016,118,31,149,0.9,0.259,0.093333333,0.496666667,12,23.31,0.347033333,0.395,0.282,10.411,20.80536913,79.19463087,2,33,871.4066666
"343",19,"Media",-97.99092,19.722073,605743.3129,2181040.635,2980.2,"Baja",1,3,1,4,119,2016,81,15,96,1,0.254,0.156666667,0.416666667,10,25.4,0.427866667,0.515,0.348,12.836,15.625,84.375,2,13,842.3333334
"344",20,"Media",-97.991,19.722105,605734.9078,2181044.127,2980.2,"Baja",3,1,1,4,119,2016,84,8,92,1,0.483666667,0.206666667,0.59,7.1,48.36666667,0.2462,0.288,0.196,7.386,8.695652174,91.30434783,2,31,1273.066667
"345",21,"Media",-97.991005,19.72215,605734.3542,2181049.104,2979.7,"Baja",3,2,1,4,119,2016,81,29,110,0.766666667,0.132,0,0.263333333,9.6,10.12,0.4124,0.462,0.359,12.372,26.36363636,73.63636364,2,32,473.0133334
"346",22,"Media",-97.991005,19.722137,605734.3628,2181047.665,2979.8,"Baja",3,3,1,4,119,2016,99,0,99,0.9,0.206333333,0.033333333,0.37,7.8,18.57,0.309633333,0.35,0.229,9.289,0,100,2,33,723.38
"347",23,"Media",-97.990944,19.722,605740.8457,2181032.541,2979.4,"Baja",1,2,1,4,119,2016,97,17,114,0.966666667,0.444333333,0.176666667,0.593333333,9.2,42.95222222,0.275433333,0.317,0.222,8.263,14.9122807,85.0877193,2,12,1304.597778
"348",24,"Media",-97.99107,19.722033,605727.6192,2181036.115,2979.4,"Baja",1,3,2,4,119,2016,125,6,131,0.033333333,0.003666667,0,0.036666667,9.3,0.012222222,0.332133333,0.38,0.28,9.964,4.580152672,95.41984733,2,13,12.30444445
"349",25,"Media",-97.99106,19.722012,605728.681,2181033.797,2978.5,"Baja",2,2,1,4,119,2016,94,35,129,1,0.356333333,0.093333333,0.546666667,11,35.63333333,0.3954,0.444,0.34,11.862,27.13178295,72.86821705,2,22,734.9222222
"350",26,"Media",-97.991005,19.721899,605734.5193,2181021.326,2992.1,"Alta",3,1,2,4,119,2016,120,1,121,0.8,0.251,0.163333333,0.383333333,11.6,20.08,0.468866667,0.525,0.36,14.066,0.826446281,99.17355372,2,31,786.52
"351",27,"Media",-97.99094,19.721846,605741.3662,2181015.501,2992.9,"Alta",3,3,2,4,119,2016,90,6,96,0.833333333,0.255333333,0.14,0.483333333,6.5,21.27777778,0.302966667,0.341,0.239,9.089,6.25,93.75,2,33,898.4888889
"352",28,"Media",-97.99108,19.721786,605726.7336,2181008.773,2973.5,"Baja",2,1,1,4,119,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"353",29,"Media",-97.99113,19.72174,605721.5238,2181003.652,2990.9,"Alta",3,2,2,4,119,2016,89,1,90,0.9,0.197333333,0.08,0.33,7.4,17.76,0.3066,0.35,0.229,9.198,1.111111111,98.88888889,2,32,736.7733334
"354",30,"Media",-97.99119,19.721704,605715.2595,2180999.63,2990.6,"Alta",2,3,1,4,119,2016,77,4,81,0.966666667,0.214333333,0.14,0.303333333,6.7,20.71888889,0.2744,0.315,0.202,8.232,4.938271605,95.0617284,2,23,855.3844445
"355",31,"Media",-97.99122,19.721703,605712.1161,2180999.501,2973.4,"Baja",2,1,2,4,119,2016,71,5,76,0.866666667,0.225666667,0.14,0.303333333,6.9,19.55777778,0.370133333,0.426,0.313,11.104,6.578947368,93.42105263,2,21,577.4066668
"356",32,"Media",-97.99122,19.721727,605712.1003,2181002.157,2991.1,"Alta",2,2,2,4,119,2016,88,4,92,0.933333333,0.34,0.203333333,0.423333333,7.4,31.73333333,0.323433333,0.359,0.288,9.703,4.347826087,95.65217391,3,22,641.8533332
"357",33,"Media",-97.99124,19.721853,605709.9215,2181016.089,2991.4,"Alta",1,1,1,4,119,2016,106,0,106,0.933333333,0.347666667,0.236666667,0.493333333,7.8,32.44888889,0.2958,0.323,0.26,8.874,0,100,2,11,1121.617778
"358",34,"Media",-97.99115,19.721848,605719.3568,2181015.591,2991.8,"Alta",1,1,2,4,119,2016,84,6,90,0.966666667,0.319333333,0.22,0.446666667,7,30.86888889,0.325933333,0.392,0.27,9.778,6.666666667,93.33333333,3,11,751.8622223
"359",35,"Media",-97.99109,19.72179,605725.683,2181009.21,2992.5,"Alta",1,2,2,4,119,2016,82,6,88,1,0.246333333,0.18,0.326666667,6.8,24.63333333,0.224,0.268,0.196,6.72,6.818181818,93.18181818,2,12,964.6
"360",36,"Media",-97.991066,19.721827,605728.1738,2181013.32,2992.4,"Alta",2,3,2,4,119,2016,90,20,110,1,0.380666667,0.283333333,0.47,7,38.06666667,0.312833333,0.348,0.251,9.385,18.18181818,81.81818182,1,23,1232.466667
"361",37,"Baja",-97.99091,19.721998,605744.4102,2181032.341,2975.7,"Baja",1,2,1,4,119,2016,125,1,126,0.866666667,0.233666667,0,0.39,6.1,20.25111111,0.175066667,0.201,0.123,5.252,0.793650794,99.20634921,3,12,323.8355555
"362",38,"Baja",-97.990944,19.722048,605740.8141,2181037.854,2980.1,"Baja",2,3,1,4,119,2016,102,4,106,0.966666667,0.281,0.136666667,0.366666667,11,27.16333333,0.4219,0.51,0.369,12.657,3.773584906,96.22641509,2,23,1169.886667
"363",39,"Baja",-97.99095,19.722046,605740.1866,2181037.629,2979.6,"Baja",1,3,1,4,119,2016,124,2,126,0.933333333,0.252666667,0.106666667,0.37,14.3,23.58222222,0.504466667,0.57,0.383,15.134,1.587301587,98.41269841,2,13,771.3377777
"364",40,"Baja",-97.99097,19.722048,605738.0893,2181037.837,2979.8,"Baja",3,2,1,4,119,2016,132,11,143,0.966666667,0.296666667,0.16,0.483333333,13,28.67777778,0.3094,0.352,0.255,9.282,7.692307692,92.30769231,2,32,588.5444445
"365",41,"Baja",-97.99103,19.722061,605731.7927,2181039.239,2979,"Baja",2,2,1,4,119,2016,101,2,103,0.766666667,0.154666667,0.11,0.226666667,7.1,11.85777778,0.303133333,0.338,0.248,9.094,1.941747573,98.05825243,1,22,269.1422223
"366",42,"Baja",-97.991035,19.721966,605731.3312,2181028.722,2978.7,"Baja",3,1,1,4,119,2016,84,2,86,0.9,0.337,0.25,0.47,8.2,30.33,0.225866667,0.251,0.183,6.776,2.325581395,97.6744186,3,31,1217.486667
"367",43,"Baja",-97.991005,19.721928,605734.5002,2181024.535,2994.3,"Alta",2,3,2,4,119,2016,129,4,133,0.533333333,0.062666667,0,0.203333333,9.3,3.342222222,0.275266667,0.308,0.232,8.258,3.007518797,96.9924812,2,23,651.5911111
"368",44,"Baja",-97.9911,19.721972,605724.5153,2181029.346,2993.3,"Alta",3,1,2,4,119,2016,106,43,149,0.6,0.151333333,0,0.41,14.3,9.08,0.4392,0.521,0.31,13.176,28.8590604,71.1409396,2,31,140.1866667
"369",45,"Baja",-97.99106,19.721975,605728.7053,2181029.703,2974.3,"Baja",1,2,2,4,119,2016,66,22,88,0.633333333,0.248,0.116666667,0.413333333,6.2,15.70666667,0.230866667,0.257,0.2,6.926,25,75,2,12,812.6533334
"370",46,"Baja",-97.99094,19.721899,605741.3313,2181021.366,2994.3,"Alta",3,3,1,4,119,2016,112,0,112,1,0.31,0.066666667,0.553333333,8.3,31,0.291733333,0.323,0.245,8.752,0,100,2,33,1192.8
"371",47,"Baja",-97.99078,19.722218,605757.8895,2181056.77,2980,"Baja",1,1,1,4,119,2016,77,2,79,0.233333333,0.02,0,0.093333333,6,0.466666667,0.2722,0.305,0.218,8.166,2.53164557,97.46835443,1,11,27.53333334
"372",48,"Baja",-97.99102,19.721884,605732.9572,2181019.656,2992.2,"Alta",2,1,1,4,119,2016,109,19,128,0.966666667,0.268,0.14,0.393333333,10.7,25.90666667,0.2625,0.296,0.224,7.875,14.84375,85.15625,2,21,802.9777778
"373",49,"Baja",-97.99102,19.722069,605732.8355,2181040.13,2979.8,"Baja",3,3,2,4,119,2016,49,2,51,0.833333333,0.372333333,0.13,0.523333333,5.5,31.02777778,0.332133333,0.432,0.222,9.964,3.921568627,96.07843137,2,33,1261.788889
"374",50,"Baja",-97.991165,19.72181,605717.8098,2181011.377,2991.9,"Alta",2,2,2,4,119,2016,78,8,86,0.933333333,0.309666667,0.193333333,0.463333333,8.2,28.90222222,0.3404,0.445,0.263,10.212,9.302325581,90.69767442,2,22,725.2311111
"375",51,"Baja",-97.991165,19.721642,605717.9203,2180992.784,2990.9,"Alta",1,1,2,4,119,2016,48,9,57,0.933333333,0.301333333,0.203333333,0.44,5.7,28.12444444,0.267033333,0.299,0.238,8.011,15.78947368,84.21052632,3,11,935.0755555
"376",52,"Baja",-97.99107,19.721575,605727.9204,2180985.428,2990.7,"Alta",1,3,2,4,119,2016,50,4,54,0.833333333,0.312666667,0.213333333,0.45,6.4,26.05555556,0.4009,0.536,0.28,12.027,7.407407407,92.59259259,3,13,989.1777778
"377",53,"Baja",-97.99104,19.721668,605731.0032,2180995.739,2990.9,"Alta",3,2,2,4,119,2016,99,5,104,0.8,0.260666667,0.126666667,0.463333333,7.8,20.85333333,0.318966667,0.365,0.267,9.569,4.807692308,95.19230769,3,32,583.1466666
"378",54,"Baja",-97.991264,19.72178,605707.4543,2181007.995,2991,"Alta",2,1,2,4,119,2016,102,3,105,0.7,0.213666667,0,0.32,7.3,14.95666667,0.312666667,0.362,0.247,9.38,2.857142857,97.14285714,1,21,753.06
"379",1,"Alta",-97.990875,19.722336,605747.8559,2181069.77,2979.3,"Baja",1,1,1,4,119,2017,129,0,129,0,0,0,0,5.8,0,0.184033333,0.219,0.157,5.521,0,100,1,11,0
"380",2,"Alta",-97.99091,19.722218,605744.2655,2181056.689,2979.3,"Baja",1,2,1,4,119,2017,86,0,86,0,0,0,0,5.3,0,0.191966667,0.229,0.155,5.759,0,100,1,12,0
"381",3,"Alta",-97.99095,19.72206,605740.1774,2181039.178,2979.5,"Baja",2,2,1,4,119,2017,111,0,111,0,0,0,0,8.9,0,0.2926,0.342,0.222,8.778,0,100,2,22,0
"382",4,"Alta",-97.990814,19.722008,605754.4645,2181033.508,2980,"Baja",1,2,2,4,119,2017,121,0,121,0,0,0,0,7.5,0,0.202566667,0.25,0.173,6.077,0,100,2,12,0
"383",5,"Alta",-97.99093,19.72194,605742.3524,2181025.91,2984.3,"Baja",2,1,1,4,119,2017,77,3,80,0,0,0,0,7.8,0,0.2767,0.327,0.232,8.301,3.75,96.25,2,21,0
"384",6,"Alta",-97.99107,19.721893,605727.7112,2181020.621,2992.3,"Alta",1,3,1,4,119,2017,123,0,123,0,0,0,0,8.2,0,0.3066,0.359,0.251,9.198,0,100,1,13,0
"385",7,"Alta",-97.991104,19.721735,605724.2519,2181003.114,2990.8,"Alta",1,3,2,4,119,2017,160,0,160,0,0,0,0,10.4,0,0.227,0.254,0.18,6.81,0,100,1,13,0
"386",8,"Alta",-97.990974,19.72165,605737.9319,2180993.788,2991,"Alta",2,3,1,4,119,2017,171,0,171,0,0,0,0,11.8,0,0.3401,0.375,0.257,10.203,0,100,2,23,0
"387",9,"Alta",-97.9911,19.721706,605724.6902,2180999.907,2991.2,"Alta",2,2,2,4,119,2017,92,2,94,0,0,0,0,6.4,0,0.257766667,0.314,0.173,7.733,2.127659574,97.87234043,2,22,0
"388",10,"Alta",-97.99113,19.721746,605721.5199,2181004.316,2990.9,"Alta",3,1,1,4,119,2017,103,0,103,0,0,0,0,8,0,0.3579,0.42,0.248,10.737,0,100,2,31,0
"389",11,"Alta",-97.99111,19.721792,605723.5856,2181009.419,2991.1,"Alta",3,2,1,4,119,2017,136,0,136,0,0,0,0,9.2,0,0.257266667,0.287,0.224,7.718,0,100,2,32,9.022222216
"390",12,"Alta",-97.99111,19.72187,605723.5343,2181018.051,2992.4,"Alta",2,1,2,4,119,2017,69,0,69,0,0,0,0,7,0,0.3575,0.427,0.296,10.725,0,100,2,21,0
"391",13,"Alta",-97.99114,19.721897,605720.3726,2181021.02,2993.1,"Alta",3,2,2,4,119,2017,99,0,99,0,0,0,0,7.2,0,0.195666667,0.218,0.169,5.87,0,100,2,32,1.96
"392",14,"Alta",-97.99106,19.722075,605728.6395,2181040.769,2979.2,"Baja",3,3,1,4,119,2017,115,0,115,0,0,0,0,8.1,0,0.237333333,0.283,0.178,7.12,0,100,1,33,0
"393",15,"Alta",-97.99085,19.722488,605750.3759,2181086.607,2973.2,"Baja",3,1,2,4,119,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0
"394",16,"Alta",-97.99083,19.72246,605752.4903,2181083.521,2973.3,"Baja",2,3,2,4,119,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0
"395",17,"Alta",-97.99077,19.722294,605758.8875,2181065.187,2978.5,"Baja",1,1,2,4,119,2017,70,0,70,0,0,0,0,6.2,0,0.3059,0.353,0.237,9.177,0,100,1,11,0
"396",18,"Alta",-97.99089,19.722174,605746.3904,2181051.832,2979.5,"Baja",3,3,2,4,119,2017,78,0,78,0,0,0,0,6.1,0,0.2416,0.281,0.198,7.248,0,100,1,33,0
"397",19,"Media",-97.99092,19.722073,605743.3129,2181040.635,2980.2,"Baja",1,3,1,4,119,2017,53,0,53,0,0,0,0,5.2,0,0.251633333,0.287,0.214,7.549,0,100,2,13,0
"398",20,"Media",-97.991,19.722105,605734.9078,2181044.127,2980.2,"Baja",3,1,1,4,119,2017,46,0,46,0,0,0,0,3.3,0,0.208066667,0.242,0.165,6.242,0,100,1,31,0
"399",21,"Media",-97.991005,19.72215,605734.3542,2181049.104,2979.7,"Baja",3,2,1,4,119,2017,83,0,83,0.233333333,0.02,0,0.076666667,7,0.544444444,0.357966667,0.403,0.315,10.739,0,100,1,32,30.52
"400",22,"Media",-97.991005,19.722137,605734.3628,2181047.665,2979.8,"Baja",3,3,1,4,119,2017,73,0,73,0,0,0,0,6.3,0,0.4417,0.499,0.376,13.251,0,100,2,33,0
"401",23,"Media",-97.990944,19.722,605740.8457,2181032.541,2979.4,"Baja",1,2,1,4,119,2017,93,0,93,0,0,0,0,5.2,0,0.2697,0.326,0.227,8.091,0,100,1,12,0
"402",24,"Media",-97.99107,19.722033,605727.6192,2181036.115,2979.4,"Baja",1,3,2,4,119,2017,74,0,74,0,0,0,0,5.6,0,0.354766667,0.407,0.299,10.643,0,100,2,13,0
"403",25,"Media",-97.99106,19.722012,605728.681,2181033.797,2978.5,"Baja",2,2,1,4,119,2017,109,0,109,0,0,0,0,6.3,0,0.168733333,0.188,0.091,5.062,0,100,1,22,0
"404",26,"Media",-97.991005,19.721899,605734.5193,2181021.326,2992.1,"Alta",3,1,2,4,119,2017,123,0,123,0,0,0,0,9.4,0,0.317966667,0.369,0.279,9.539,0,100,1,31,0
"405",27,"Media",-97.99094,19.721846,605741.3662,2181015.501,2992.9,"Alta",3,3,2,4,119,2017,61,0,61,0,0,0,0,5.6,0,0.3054,0.344,0.262,9.162,0,100,2,33,0.933333338
"406",28,"Media",-97.99108,19.721786,605726.7336,2181008.773,2973.5,"Baja",2,1,1,4,119,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"407",29,"Media",-97.99113,19.72174,605721.5238,2181003.652,2990.9,"Alta",3,2,2,4,119,2017,87,0,87,0,0,0,0,8.7,0,0.343533333,0.394,0.286,10.306,0,100,2,32,0
"408",30,"Media",-97.99119,19.721704,605715.2595,2180999.63,2990.6,"Alta",2,3,1,4,119,2017,101,0,101,0,0,0,0,8.3,0,0.2725,0.316,0.229,8.175,0,100,2,23,0
"409",31,"Media",-97.99122,19.721703,605712.1161,2180999.501,2973.4,"Baja",2,1,2,4,119,2017,73,1,74,0,0,0,0,8.1,0,0.411566667,0.487,0.332,12.347,1.351351351,98.64864865,2,21,0
"410",32,"Media",-97.99122,19.721727,605712.1003,2181002.157,2991.1,"Alta",2,2,2,4,119,2017,93,2,95,0,0,0,0,7.3,0,0.256366667,0.286,0.212,7.691,2.105263158,97.89473684,2,22,0
"411",33,"Media",-97.99124,19.721853,605709.9215,2181016.089,2991.4,"Alta",1,1,1,4,119,2017,131,0,131,0,0,0,0,9.5,0,0.2975,0.333,0.242,8.925,0,100,2,11,0
"412",34,"Media",-97.99115,19.721848,605719.3568,2181015.591,2991.8,"Alta",1,1,2,4,119,2017,100,0,100,0,0,0,0,6.6,0,0.210833333,0.246,0.182,6.325,0,100,1,11,0
"413",35,"Media",-97.99109,19.72179,605725.683,2181009.21,2992.5,"Alta",1,2,2,4,119,2017,113,0,113,0,0,0,0,6.6,0,0.245566667,0.281,0.199,7.367,0,100,1,12,0
"414",36,"Media",-97.991066,19.721827,605728.1738,2181013.32,2992.4,"Alta",2,3,2,4,119,2017,225,0,225,0,0,0,0,10.4,0,0.332,0.393,0.28,9.96,0,100,1,23,1.306666662
"415",37,"Baja",-97.99091,19.721998,605744.4102,2181032.341,2975.7,"Baja",1,2,1,4,119,2017,58,0,58,0,0,0,0,3.6,0,0.175233333,0.221,0.131,5.257,0,100,1,12,0
"416",38,"Baja",-97.990944,19.722048,605740.8141,2181037.854,2980.1,"Baja",2,3,1,4,119,2017,130,0,130,0,0,0,0,9.8,0,0.259066667,0.3,0.217,7.772,0,100,1,23,0
"417",39,"Baja",-97.99095,19.722046,605740.1866,2181037.629,2979.6,"Baja",1,3,1,4,119,2017,72,0,72,0,0,0,0,6.6,0,0.335133333,0.375,0.257,10.054,0,100,2,13,0
"418",40,"Baja",-97.99097,19.722048,605738.0893,2181037.837,2979.8,"Baja",3,2,1,4,119,2017,81,4,85,0,0,0,0,5.9,0,0.2236,0.262,0.168,6.708,4.705882353,95.29411765,1,32,0
"419",41,"Baja",-97.99103,19.722061,605731.7927,2181039.239,2979,"Baja",2,2,1,4,119,2017,64,0,64,0,0,0,0,5.6,0,0.262533333,0.317,0.203,7.876,0,100,1,22,0
"420",42,"Baja",-97.991035,19.721966,605731.3312,2181028.722,2978.7,"Baja",3,1,1,4,119,2017,96,0,96,0,0,0,0,7.8,0,0.3201,0.363,0.267,9.603,0,100,1,31,0
"421",43,"Baja",-97.991005,19.721928,605734.5002,2181024.535,2994.3,"Alta",2,3,2,4,119,2017,124,0,124,0,0,0,0,8.9,0,0.363,0.414,0.301,10.89,0,100,1,23,0
"422",44,"Baja",-97.9911,19.721972,605724.5153,2181029.346,2993.3,"Alta",3,1,2,4,119,2017,104,0,104,0,0,0,0,7,0,0.224533333,0.252,0.16,6.736,0,100,1,31,0
"423",45,"Baja",-97.99106,19.721975,605728.7053,2181029.703,2974.3,"Baja",1,2,2,4,119,2017,88,0,88,0,0,0,0,6.4,0,0.335933333,0.412,0.188,10.078,0,100,2,12,0
"424",46,"Baja",-97.99094,19.721899,605741.3313,2181021.366,2994.3,"Alta",3,3,1,4,119,2017,79,0,79,0,0,0,0,6.6,0,0.315133333,0.358,0.256,9.454,0,100,1,33,0
"425",47,"Baja",-97.99078,19.722218,605757.8895,2181056.77,2980,"Baja",1,1,1,4,119,2017,79,0,79,0,0,0,0,5.1,0,0.286833333,0.327,0.231,8.605,0,100,1,11,0.528888892
"426",48,"Baja",-97.99102,19.721884,605732.9572,2181019.656,2992.2,"Alta",2,1,1,4,119,2017,128,0,128,0,0,0,0,8.8,0,0.269933333,0.296,0.24,8.098,0,100,1,21,0
"427",49,"Baja",-97.99102,19.722069,605732.8355,2181040.13,2979.8,"Baja",3,3,2,4,119,2017,139,0,139,0,0,0,0,10,0,0.3262,0.379,0.261,9.786,0,100,1,33,0
"428",50,"Baja",-97.991165,19.72181,605717.8098,2181011.377,2991.9,"Alta",2,2,2,4,119,2017,160,0,160,0,0,0,0,8.5,0,0.1949,0.213,0.174,5.847,0,100,1,22,1.306666662
"429",51,"Baja",-97.991165,19.721642,605717.9203,2180992.784,2990.9,"Alta",1,1,2,4,119,2017,171,0,171,0,0,0,0,13.8,0,0.257666667,0.311,0.187,7.73,0,100,1,11,0
"430",52,"Baja",-97.99107,19.721575,605727.9204,2180985.428,2990.7,"Alta",1,3,2,4,119,2017,97,0,97,0,0,0,0,8.8,0,0.2786,0.322,0.234,8.358,0,100,1,13,0
"431",53,"Baja",-97.99104,19.721668,605731.0032,2180995.739,2990.9,"Alta",3,2,2,4,119,2017,98,0,98,0,0,0,0,8.7,0,0.282433333,0.331,0.217,8.473,0,100,1,32,0
"432",54,"Baja",-97.991264,19.72178,605707.4543,2181007.995,2991,"Alta",2,1,2,4,119,2017,90,0,90,0,0,0,0,5.4,0,0.220166667,0.253,0.189,6.605,0,100,1,21,0
"433",1,"Alta",-97.990875,19.722336,605747.8559,2181069.77,2979.3,"Baja",1,1,1,5,147,2016,73,5,78,1,0.381333333,0.15,0.48,4.6,38.13333333,0.234766667,0.263,0.176,7.043,6.41025641,93.58974359,2,11,1049.937778
"434",2,"Alta",-97.99091,19.722218,605744.2655,2181056.689,2979.3,"Baja",1,2,1,5,147,2016,98,6,104,1,0.433666667,0.246666667,0.61,7.2,43.36666667,0.194633333,0.215,0.174,5.839,5.769230769,94.23076923,3,12,978.3977778
"435",3,"Alta",-97.99095,19.72206,605740.1774,2181039.178,2979.5,"Baja",2,2,1,5,147,2016,139,2,141,1,0.427,0.226666667,0.573333333,8.1,42.7,0.255,0.286,0.202,7.65,1.418439716,98.58156028,2,22,1163.4
"436",4,"Alta",-97.990814,19.722008,605754.4645,2181033.508,2980,"Baja",1,2,2,5,147,2016,63,20,83,1,0.495666667,0.403333333,0.65,6.1,49.56666667,0.251566667,0.279,0.197,7.547,24.09638554,75.90361446,3,12,1183.84
"437",5,"Alta",-97.99093,19.72194,605742.3524,2181025.91,2984.3,"Baja",2,1,1,5,147,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"438",6,"Alta",-97.99107,19.721893,605727.7112,2181020.621,2992.3,"Alta",1,3,1,5,147,2016,91,8,99,1,0.413666667,0.186666667,0.58,6,41.36666667,0.195866667,0.216,0.165,5.876,8.080808081,91.91919192,3,13,666.68
"439",7,"Alta",-97.991104,19.721735,605724.2519,2181003.114,2990.8,"Alta",1,3,2,5,147,2016,135,10,145,0.966666667,0.302,0,0.51,11.2,29.19333333,0.256666667,0.292,0.203,7.7,6.896551724,93.10344828,3,13,863.5666666
