"","Arbol","Bloque","Longitud","Latitud","X_UTM","Y_UTM","Altitud","AltRan","Fungicida","Nutrimento","Rep","Muestreo","DDA","Anio","AcicR","Abs","TotalAc","Inc","Sevmed","Sevmin","Sevmax","LonBrot","indcol","Afmed","Afmax","Afmin","Aftotal","CA","RA","Color","trat","ABCPEIC"
"250",34,"Media",-97.99115,19.721848,605719.3568,2181015.591,2991.8,"Alta",1,1,2,3,91,2016,52,1,53,0.933333333,0.244666667,0.156666667,0.366666667,9.6,22.83555556,0.274,0.311,0.193,8.22,1.886792453,98.11320755,2,11,458.608889
"251",35,"Media",-97.99109,19.72179,605725.683,2181009.21,2992.5,"Alta",1,2,2,3,91,2016,79,17,96,1,0.442666667,0.253333333,0.766666667,9.2,44.26666667,0.344966667,0.411,0.23,10.349,17.70833333,82.29166667,2,12,818.72
"252",36,"Media",-97.991066,19.721827,605728.1738,2181013.32,2992.4,"Alta",2,3,2,3,91,2016,60,16,76,1,0.499666667,0.383333333,0.606666667,11.3,49.96666667,0.343966667,0.379,0.283,10.319,21.05263158,78.94736842,2,23,1021.471111
"253",37,"Baja",-97.99091,19.721998,605744.4102,2181032.341,2975.7,"Baja",1,2,1,3,91,2016,148,3,151,0.4,0.072,0.006666667,0.15,7.2,2.88,0.2632,0.304,0.207,7.896,1.986754967,98.01324503,2,12,46.62
"254",38,"Baja",-97.990944,19.722048,605740.8141,2181037.854,2980.1,"Baja",2,3,1,3,91,2016,124,0,124,1,0.564,0.506666667,0.62,8.2,56.4,0.339133333,0.402,0.27,10.174,0,100,2,23,1128.897778
"255",39,"Baja",-97.99095,19.722046,605740.1866,2181037.629,2979.6,"Baja",1,3,1,3,91,2016,76,0,76,0.966666667,0.326,0,0.463333333,9.3,31.51333333,0.234166667,0.293,0.182,7.025,0,100,2,13,621.0711111
"256",40,"Baja",-97.99097,19.722048,605738.0893,2181037.837,2979.8,"Baja",3,2,1,3,91,2016,105,4,109,0.833333333,0.160333333,0,0.493333333,17.5,13.36111111,0.2977,0.348,0.23,8.931,3.669724771,96.33027523,2,32,270.2155555
"257",41,"Baja",-97.99103,19.722061,605731.7927,2181039.239,2979,"Baja",2,2,1,3,91,2016,54,5,59,1,0.073666667,0.003333333,0.156666667,8.3,7.366666667,0.328766667,0.383,0.236,9.863,8.474576271,91.52542373,1,22,103.32
"258",42,"Baja",-97.991035,19.721966,605731.3312,2181028.722,2978.7,"Baja",3,1,1,3,91,2016,84,9,93,1,0.566333333,0.426666667,0.706666667,9.4,56.63333333,0.257633333,0.296,0.223,7.729,9.677419355,90.32258065,2,31,1247.586667
"259",43,"Baja",-97.991005,19.721928,605734.5002,2181024.535,2994.3,"Alta",2,3,2,3,91,2016,88,9,97,1,0.432,0.236666667,0.543333333,8.5,43.2,0.217966667,0.247,0.162,6.539,9.278350515,90.72164948,2,23,645.12
"260",44,"Baja",-97.9911,19.721972,605724.5153,2181029.346,2993.3,"Alta",3,1,2,3,91,2016,83,0,83,0.5,0.018666667,0,0.05,10,0.933333333,0.304633333,0.361,0.221,9.139,0,100,1,31,15.80444445
"261",45,"Baja",-97.99106,19.721975,605728.7053,2181029.703,2974.3,"Baja",1,2,2,3,91,2016,97,15,112,0.966666667,0.438,0.163333333,0.616666667,12.4,42.34,0.28,0.34,0.212,8.4,13.39285714,86.60714286,2,12,905.8311111
"262",46,"Baja",-97.99094,19.721899,605741.3313,2181021.366,2994.3,"Alta",3,3,1,3,91,2016,99,2,101,1,0.542,0.403333333,0.766666667,9.2,54.2,0.278366667,0.318,0.202,8.351,1.98019802,98.01980198,2,33,1082.2
"263",47,"Baja",-97.99078,19.722218,605757.8895,2181056.77,2980,"Baja",1,1,1,3,91,2016,65,2,67,1,0.015,0,0.09,7.1,1.5,0.3275,0.364,0.269,9.825,2.985074627,97.01492537,1,11,201.9733334
"264",48,"Baja",-97.99102,19.721884,605732.9572,2181019.656,2992.2,"Alta",2,1,1,3,91,2016,155,8,163,0.966666667,0.325333333,0.13,0.503333333,11.8,31.44888889,0.3267,0.374,0.266,9.801,4.90797546,95.09202454,1,21,842.2244445
"265",49,"Baja",-97.99102,19.722069,605732.8355,2181040.13,2979.8,"Baja",3,3,2,3,91,2016,124,4,128,1,0.591,0.486666667,0.75,8.2,59.1,0.3619,0.403,0.285,10.857,3.125,96.875,2,33,987
"266",50,"Baja",-97.991165,19.72181,605717.8098,2181011.377,2991.9,"Alta",2,2,2,3,91,2016,75,18,93,1,0.229,0.043333333,0.306666667,8.7,22.9,0.344533333,0.397,0.258,10.336,19.35483871,80.64516129,2,22,513.8933334
"267",51,"Baja",-97.991165,19.721642,605717.9203,2180992.784,2990.9,"Alta",1,1,2,3,91,2016,93,0,93,1,0.386666667,0.263333333,0.556666667,8.3,38.66666667,0.313,0.343,0.263,9.39,0,100,2,11,782.4444445
"268",52,"Baja",-97.99107,19.721575,605727.9204,2180985.428,2990.7,"Alta",1,3,2,3,91,2016,66,79,145,1,0.446,0.283333333,0.676666667,9.9,44.6,0.272266667,0.306,0.221,8.168,54.48275862,45.51724138,2,13,850.2666666
"269",53,"Baja",-97.99104,19.721668,605731.0032,2180995.739,2990.9,"Alta",3,2,2,3,91,2016,65,14,79,1,0.208,0.083333333,0.34,10.9,20.8,0.357366667,0.417,0.272,10.721,17.72151899,82.27848101,1,32,334.32
"270",54,"Baja",-97.991264,19.72178,605707.4543,2181007.995,2991,"Alta",2,1,2,3,91,2016,109,4,113,1,0.388333333,0.256666667,0.496666667,10.7,38.83333333,0.374533333,0.421,0.308,11.236,3.539823009,96.46017699,2,21,711.0288888
"271",1,"Alta",-97.990875,19.722336,605747.8559,2181069.77,2979.3,"Baja",1,1,1,3,91,2017,93,1,94,0,0,0,0,5.4,0,0.192466667,0.212,0.163,5.774,1.063829787,98.93617021,1,11,0
"272",2,"Alta",-97.99091,19.722218,605744.2655,2181056.689,2979.3,"Baja",1,2,1,3,91,2017,113,0,113,0.033333333,0,0,0,6.5,0,0.222466667,0.25,0.167,6.674,0,100,1,12,0
"273",3,"Alta",-97.99095,19.72206,605740.1774,2181039.178,2979.5,"Baja",2,2,1,3,91,2017,120,0,120,0.033333333,0,0,0,10.9,0,0.3117,0.368,0.175,9.351,0,100,2,22,0
"274",4,"Alta",-97.990814,19.722008,605754.4645,2181033.508,2980,"Baja",1,2,2,3,91,2017,53,0,53,0.933333333,0,0,0,5.1,0,0.309066667,0.346,0.239,9.272,0,100,1,12,9.146666662
"275",5,"Alta",-97.99093,19.72194,605742.3524,2181025.91,2984.3,"Baja",2,1,1,3,91,2017,102,6,108,0.1,0,0,0,11,0,0.4196,0.53,0.255,12.588,5.555555556,94.44444444,1,21,0
"276",6,"Alta",-97.99107,19.721893,605727.7112,2181020.621,2992.3,"Alta",1,3,1,3,91,2017,109,0,109,0,0,0,0,9.1,0,0.238866667,0.264,0.2,7.166,0,100,1,13,0
"277",7,"Alta",-97.991104,19.721735,605724.2519,2181003.114,2990.8,"Alta",1,3,2,3,91,2017,109,1,110,0,0,0,0,9.6,0,0.226633333,0.259,0.172,6.799,0.909090909,99.09090909,1,13,0
"278",8,"Alta",-97.990974,19.72165,605737.9319,2180993.788,2991,"Alta",2,3,1,3,91,2017,91,0,91,0,0,0,0,6.8,0,0.382833333,0.417,0.334,11.485,0,100,1,23,0
"279",9,"Alta",-97.9911,19.721706,605724.6902,2180999.907,2991.2,"Alta",2,2,2,3,91,2017,87,0,87,0.033333333,0,0,0,6,0,0.3447,0.401,0.252,10.341,0,100,1,22,0
"280",10,"Alta",-97.99113,19.721746,605721.5199,2181004.316,2990.9,"Alta",3,1,1,3,91,2017,57,0,57,0,0,0,0,3.4,0,0.3566,0.394,0.317,10.698,0,100,1,31,0
"281",11,"Alta",-97.99111,19.721792,605723.5856,2181009.419,2991.1,"Alta",3,2,1,3,91,2017,121,0,121,0.333333333,0.019333333,0,0.193333333,8.8,0.644444444,0.3041,0.358,0.243,9.123,0,100,1,32,9.022222216
"282",12,"Alta",-97.99111,19.72187,605723.5343,2181018.051,2992.4,"Alta",2,1,2,3,91,2017,104,1,105,0,0,0,0,7.7,0,0.344266667,0.405,0.287,10.328,0.952380952,99.04761905,1,21,0
"283",13,"Alta",-97.99114,19.721897,605720.3726,2181021.02,2993.1,"Alta",3,2,2,3,91,2017,54,0,54,0.2,0.007,0,0.043333333,6.8,0.14,0.195433333,0.232,0.162,5.863,0,100,2,32,1.96
"284",14,"Alta",-97.99106,19.722075,605728.6395,2181040.769,2979.2,"Baja",3,3,1,3,91,2017,93,7,100,0,0,0,0,10.8,0,0.386866667,0.433,0.293,11.606,7,93,1,33,0
